,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
73,1200807.0,Porto Acre,12.0,AC,442.44615384615395,444.89642857142866,470.1357142857144,448.9307692307693,509.2857142857143
74,1300029.0,Alvarães,13.0,AM,423.1803921568628,458.38823529411786,455.10588235294114,455.45882352941186,449.01960784313724
75,1300060.0,Amaturá,13.0,AM,417.74,463.97999999999996,425.1466666666667,446.1133333333334,416.0
76,1300086.0,Anamã,13.0,AM,439.9294117647059,435.6888888888889,455.68888888888887,446.4058823529412,431.1111111111111
77,1300102.0,Anori,13.0,AM,429.8464285714284,445.8473684210527,452.77017543859637,444.6232142857143,409.4736842105263
78,1300144.0,Apuí,13.0,AM,465.50588235294117,477.90000000000003,473.8166666666666,486.42941176470583,460.0
79,1300201.0,Atalaia do Norte,13.0,AM,428.29999999999995,426.34230769230766,449.64230769230755,446.3115384615385,524.6153846153846
80,1300300.0,Autazes,13.0,AM,429.05625000000003,454.2588235294118,462.0558823529411,455.58124999999995,430.5882352941176
81,1300409.0,Barcelos,13.0,AM,456.29999999999995,456.7529411764705,474.3970588235293,458.77812500000005,532.3529411764706
82,1300508.0,Barreirinha,13.0,AM,410.0738461538461,448.00597014925387,441.44626865671637,440.48923076923086,436.7164179104478
83,1300607.0,Benjamin Constant,13.0,AM,418.1434782608697,426.0333333333335,411.7625,419.8391304347825,458.3333333333333
84,1300631.0,Beruri,13.0,AM,447.76666666666665,427.11176470588236,451.15294117647056,475.1066666666667,418.8235294117647
85,1300680.0,Boa Vista do Ramos,13.0,AM,422.6,445.14347826086953,448.03695652173906,451.1622222222221,444.7826086956522
86,1300706.0,Boca do Acre,13.0,AM,,,,,
87,1300805.0,Borba,13.0,AM,426.86,459.00000000000006,465.6960000000001,444.87999999999994,444.8
88,1300839.0,Caapiranga,13.0,AM,443.8666666666666,441.1714285714285,434.8904761904763,436.5777777777777,467.6190476190476
89,1300904.0,Canutama,13.0,AM,429.49000000000007,426.93499999999995,451.68,445.83500000000004,439.0
90,1301001.0,Carauari,13.0,AM,445.97234042553185,459.07959183673466,466.6510204081632,459.1127659574468,464.48979591836735
91,1301100.0,Careiro,13.0,AM,447.2714285714286,449.8,447.7586206896551,460.26785714285705,417.9310344827586
92,1301159.0,Careiro da Várzea,13.0,AM,441.03571428571433,451.92142857142863,465.8178571428571,473.2857142857143,475.7142857142857
93,1301209.0,Coari,13.0,AM,440.9213636363635,449.7920353982302,460.06858407079625,456.2722727272727,488.6725663716814
94,1301308.0,Codajás,13.0,AM,421.95862068965516,446.95357142857154,433.5035714285714,434.2137931034483,473.57142857142856
95,1301407.0,Eirunepé,13.0,AM,452.8048780487804,469.3524390243904,473.9878048780487,464.9621951219513,521.4634146341464
96,1301506.0,Envira,13.0,AM,428.38275862068974,443.8612903225807,450.9612903225806,447.044827586207,470.3225806451613
97,1301605.0,Fonte Boa,13.0,AM,437.99787234042554,443.2458333333334,457.4083333333333,445.8957446808511,460.8333333333333
98,1301654.0,Guajará,13.0,AM,428.2124999999999,435.78799999999995,452.21200000000005,427.0291666666667,456.0
99,1301704.0,Humaitá,13.0,AM,462.89541284403634,479.34122807017553,474.4228070175439,479.6192660550457,488.5964912280702
100,1301803.0,Ipixuna,13.0,AM,429.46999999999997,437.552380952381,448.1,453.38,484.76190476190476
101,1301852.0,Iranduba,13.0,AM,452.31249999999994,476.6013513513515,473.41621621621624,474.13749999999993,469.18918918918916
102,1301902.0,Itacoatiara,13.0,AM,454.88451612903214,483.02436708860716,485.9857594936709,476.3448387096774,514.6835443037975
103,1301951.0,Itamarati,13.0,AM,416.316,420.58,429.9599999999999,433.66399999999993,423.2
104,1302009.0,Itapiranga,13.0,AM,440.4567567567568,465.65675675675675,472.38918918918915,469.5918918918918,462.1621621621622
105,1302108.0,Japurá,13.0,AM,419.5375000000001,435.77333333333337,430.0933333333333,426.4125,345.3333333333333
106,1302207.0,Juruá,13.0,AM,408.65,423.95000000000005,389.35,446.1,470.0
107,1302306.0,Jutaí,13.0,AM,408.33333333333326,414.01000000000005,455.34000000000003,425.0333333333334,480.0
